Method Category,Method Name,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C,Average
NAP,Random Alignment,0.25,0.25,0.25,0.25,0.27,0.28,0.26
NAP,Scrambled Input $s$,0.27,0.25,0.25,0.25,0.25,0.32,0.27
NAP,Permuted $W$ Columns,0.29,0.27,0.25,0.25,0.41,0.31,0.30
NAP,Heuristic Depth-Mean,0.25,0.25,0.25,0.25,0.25,0.25,0.25
NAP,Gold (Upper Bound),0.25,0.35,0.25,0.25,0.37,0.34,0.30
NAP,DFA (In-Distribution),0.32,0.49,0.26,0.26,0.46,0.52,0.39
NAP,DFA (Near-Distribution),,,0.39,0.25,0.44,0.48,0.39
NAP,DFA (Far/Zero-Shot),0.27,0.46,0.28,0.26,0.44,0.48,0.37
