Method,Setting / Control,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C
NAP-IG-Inputs,1. Random $W$ (Lower Bound),0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,2. Scrambled input $s$,0.28,0.27,0.34,0.25,0.40,0.25
NAP-IG-Inputs,3. Permuted $W$ columns,0.27,0.30,0.25,0.25,0.28,0.26
NAP-IG-Inputs,4. Heuristic Depth Mean,0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,DFA (Zero-shot),0.31,0.48,0.51,0.49,0.47,0.38
NAP-IG-Inputs,DFA (Best),0.35,0.48,0.51,0.49,0.54,0.39
NAP,1. Random $W$ (Lower Bound),0.25,0.25,0.25,0.25,0.27,0.28
NAP,2. Scrambled input $s$,0.27,0.25,0.25,0.25,0.25,0.32
NAP,3. Permuted $W$ columns,0.29,0.27,0.25,0.25,0.41,0.31
NAP,4. Heuristic Depth Mean,0.25,0.25,0.25,0.25,0.25,0.25
NAP,DFA (Zero-shot),0.27,0.46,0.28,0.26,0.44,0.48
NAP,DFA (Best),0.32,0.49,0.39,0.26,0.46,0.52
NAP-IG-Activations,1. Random $W$ (Lower Bound),0.25,0.25,0.25,0.25,0.26,0.25
NAP-IG-Activations,2. Scrambled input $s$,0.29,0.31,0.33,0.25,0.34,0.37
NAP-IG-Activations,3. Permuted $W$ columns,0.26,0.26,0.25,0.25,0.26,0.27
NAP-IG-Activations,4. Heuristic Depth Mean,0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Activations,DFA (Zero-shot),0.33,0.46,0.82,0.28,0.34,0.51
NAP-IG-Activations,DFA (Best),0.33,0.46,0.82,0.45,0.41,0.51
