Method Category,Method Name,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C,Average
NAP-IG-Inputs,Random Alignment,0.25,0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,Scrambled Input $s$,0.28,0.27,0.34,0.25,0.40,0.25,0.30
NAP-IG-Inputs,Permuted $W$ Columns,0.27,0.30,0.25,0.25,0.28,0.26,0.27
NAP-IG-Inputs,Heuristic Depth-Mean,0.25,0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,Gold (Upper Bound),0.28,0.47,0.26,0.25,0.52,0.48,0.38
NAP-IG-Inputs,DFA (In-Distribution),0.35,0.41,0.29,0.45,0.41,0.39,0.38
NAP-IG-Inputs,DFA (Near-Distribution),,,0.43,0.47,0.54,0.37,0.45
NAP-IG-Inputs,DFA (Far/Zero-Shot),0.31,0.48,0.51,0.49,0.47,0.38,0.44
