Method Category,Method Name,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C,Average
NAP,Random Alignment,0.25,0.25,0.25,0.25,0.25,0.25,0.25
NAP,Scrambled Input $s$,0.39,0.25,0.26,0.25,0.25,0.30,0.28
NAP,Permuted $W$ Columns,0.31,0.25,0.25,0.25,0.33,0.31,0.28
NAP,Heuristic Depth-Mean,,,,,,,
NAP,Gold (Upper Bound),0.31,0.38,0.25,0.29,0.57,0.59,0.40
NAP,DFA (In-Distribution),0.33,0.46,0.35,0.33,0.49,0.53,0.41
NAP,DFA (Near-Distribution),,,0.30,0.26,0.47,0.46,0.37
NAP,DFA (Far/Zero-Shot),0.27,0.40,0.40,0.26,0.30,0.29,0.32
