Method Category,Transfer Setting,IOI,MCQA,Arith +,Arith -,ARC-E,ARC-C,Average
Baseline,Random Alignment,0.25,0.25,0.25,0.25,0.25,0.25,0.25
NAP-IG-Inputs,Gold (Upper Bound),0.28,0.47,0.26,0.25,0.52,0.48,0.38
NAP-IG-Inputs,DFA (In-Distribution),0.35,0.41,0.29,0.45,0.41,0.39,0.38
NAP-IG-Inputs,DFA (Near-Distribution),,,0.43,0.47,0.54,0.37,0.45
NAP-IG-Inputs,DFA (Far/Zero-Shot),0.31,0.48,0.51,0.49,0.47,0.38,0.44
NAP,Gold (Upper Bound),0.25,0.35,0.25,0.25,0.37,0.34,0.30
NAP,DFA (In-Distribution),0.32,0.49,0.26,0.26,0.46,0.52,0.39
NAP,DFA (Near-Distribution),,,0.39,0.25,0.44,0.48,0.39
NAP,DFA (Far/Zero-Shot),0.27,0.46,0.28,0.26,0.44,0.48,0.37
NAP-IG-Activations,Gold (Upper Bound),0.38,0.35,0.25,0.25,0.43,0.35,0.33
NAP-IG-Activations,DFA (In-Distribution),0.33,0.39,0.53,0.45,0.41,0.44,0.42
NAP-IG-Activations,DFA (Near-Distribution),,,0.72,0.28,0.41,0.37,0.44
NAP-IG-Activations,DFA (Far/Zero-Shot),0.33,0.46,0.82,0.28,0.34,0.51,0.46
